2025-08-14 16:35:16,986 - {'ts': '2025-08-14 14:35:00+0000', 'symbol': 'AMP/USDT', 'price': 0.003673, 'score': 80, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.00365732, 'tp': 0.00369809}
2025-08-14 16:36:50,321 - {'ts': '2025-08-14 14:36:00+0000', 'symbol': 'ANIME/USDT', 'price': 0.01757, 'score': 70, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.01749764, 'tp': 0.01768578}
2025-08-14 16:38:43,798 - {'ts': '2025-08-14 14:38:00+0000', 'symbol': 'ANKR/USDT', 'price': 0.01623, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.01614917, 'tp': 0.01635932}
2025-08-14 16:40:20,990 - {'ts': '2025-08-14 14:40:00+0000', 'symbol': 'APE/USDT', 'price': 0.6222, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.61976058, 'tp': 0.62610307}
2025-08-14 16:41:45,244 - {'ts': '2025-08-14 14:41:00+0000', 'symbol': 'API3/USDT', 'price': 0.747, 'score': 60, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.74375659, 'tp': 0.75218945}
2025-08-14 16:43:05,255 - {'ts': '2025-08-14 14:42:00+0000', 'symbol': 'APT/USDT', 'price': 4.814, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 4.7886103, 'tp': 4.85462352}
2025-08-14 16:44:21,417 - {'ts': '2025-08-14 14:44:00+0000', 'symbol': 'AR/USDT', 'price': 7.71, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 7.65211281, 'tp': 7.80261951}
2025-08-14 16:45:47,172 - {'ts': '2025-08-14 14:45:00+0000', 'symbol': 'ARB/USDT', 'price': 0.523, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.51832452, 'tp': 0.53048076}
2025-08-14 16:47:05,810 - {'ts': '2025-08-14 14:46:00+0000', 'symbol': 'ARDR/USDT', 'price': 0.09478, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.09427085, 'tp': 0.09559465}
2025-08-14 16:48:22,656 - {'ts': '2025-08-14 14:48:00+0000', 'symbol': 'ARK/USDT', 'price': 0.4475, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.44613148, 'tp': 0.44968963}
2025-08-14 16:49:47,253 - {'ts': '2025-08-14 14:49:00+0000', 'symbol': 'ARKM/USDT', 'price': 0.573, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.56757599, 'tp': 0.58167842}
2025-08-14 16:51:05,174 - {'ts': '2025-08-14 14:50:00+0000', 'symbol': 'ARPA/USDT', 'price': 0.02296, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.02288015, 'tp': 0.02308775}
2025-08-14 16:52:24,266 - {'ts': '2025-08-14 14:52:00+0000', 'symbol': 'ASR/USDT', 'price': 5.585, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 5.55093343, 'tp': 5.63950652}
2025-08-14 16:53:45,515 - {'ts': '2025-08-14 14:53:00+0000', 'symbol': 'ASTR/USDT', 'price': 0.02524, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.02516661, 'tp': 0.02535742}
2025-08-14 16:55:00,216 - {'ts': '2025-08-14 14:54:00+0000', 'symbol': 'ATA/USDT', 'price': 0.0494, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.04920695, 'tp': 0.04970887}
2025-08-14 16:56:18,234 - {'ts': '2025-08-14 14:56:00+0000', 'symbol': 'ATM/USDT', 'price': 1.575, 'score': 80, 'weight': 0.25, 'entry': True, 'exit': False, 'sl': 1.555484, 'tp': 1.60622559}
2025-08-14 16:57:32,800 - {'ts': '2025-08-14 14:57:00+0000', 'symbol': 'ATOM/USDT', 'price': 4.626, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 4.60796555, 'tp': 4.65485513}
2025-08-14 16:58:46,012 - {'ts': '2025-08-14 14:58:00+0000', 'symbol': 'AUCTION/USDT', 'price': 10.01, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 9.97346286, 'tp': 10.06845943}
2025-08-14 17:09:47,039 - {'ts': '2025-08-14 15:09:00+0000', 'symbol': 'AUDIO/USDT', 'price': 0.0623, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.06180056, 'tp': 0.06309911}
2025-08-14 17:11:03,688 - {'ts': '2025-08-14 15:10:00+0000', 'symbol': 'AVA/USDT', 'price': 0.5834, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.58149852, 'tp': 0.58644237}
2025-08-14 17:12:20,474 - {'ts': '2025-08-14 15:12:00+0000', 'symbol': 'AVAX/USDT', 'price': 24.15, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 24.04700991, 'tp': 24.31478414}
