open_time,side,entry,sl,tp,exit_time,R,equity,win
2025-08-12 01:30:00,LONG,119004.6,118770.49805017142,119472.80389965717,2025-08-12 03:49:59.999,-1.0,0.0,False
2025-08-12 04:35:00,LONG,119031.5,118877.3964536492,119339.7070927016,2025-08-12 05:04:59.999,-1.0,0.0,False
2025-08-12 05:15:00,SHORT,118796.4,118985.79460916061,118417.61078167874,2025-08-12 05:44:59.999,2.0,0.0,True
2025-08-12 05:45:00,SHORT,118440.4,118629.67819437983,118061.84361124031,2025-08-12 05:54:59.999,-1.0,0.0,False
2025-08-12 06:15:00,SHORT,118656.4,118835.73771707663,118297.72456584671,2025-08-12 06:24:59.999,-1.0,0.0,False
2025-08-12 07:15:00,LONG,119054.3,118882.4974769748,119397.90504605042,2025-08-12 08:04:59.999,-1.0,0.0,False
2025-08-12 08:35:00,SHORT,118709.7,118839.74526343071,118449.60947313858,2025-08-12 08:44:59.999,-1.0,0.0,False
2025-08-12 08:45:00,LONG,118985.9,118844.12194122556,119269.45611754888,2025-08-12 08:54:59.999,-1.0,0.0,False
2025-08-12 08:55:00,SHORT,118783.5,118931.79383639224,118486.91232721551,2025-08-12 09:29:59.999,2.0,0.0,True
2025-08-12 09:30:00,SHORT,118632.1,118809.72420802418,118276.85158395163,2025-08-12 10:04:59.999,2.0,0.0,True
2025-08-12 10:05:00,SHORT,118260.0,118429.8308658435,117920.338268313,2025-08-12 10:24:59.999,-1.0,0.0,False
2025-08-12 10:40:00,SHORT,118396.7,118583.81342496835,118022.47315006329,2025-08-12 11:34:59.999,-1.0,0.0,False
2025-08-12 12:10:00,SHORT,118349.9,118540.69227175441,117968.31545649115,2025-08-12 12:29:59.999,-1.0,0.0,False
2025-08-12 12:50:00,LONG,119035.6,118752.08047199118,119602.63905601765,2025-08-12 13:39:59.999,2.0,0.0,True
2025-08-12 13:40:00,LONG,119293.6,118953.3941722041,119974.0116555918,2025-08-12 13:49:59.999,-1.0,0.0,False
2025-08-12 14:15:00,LONG,119132.6,118707.98932689591,119981.82134620818,2025-08-12 16:04:59.999,2.0,0.0,True
2025-08-12 16:05:00,LONG,119974.4,119640.1028529951,120642.99429400978,2025-08-12 16:29:59.999,-1.0,0.0,False
2025-08-12 17:05:00,LONG,119760.0,119462.99779712246,120354.00440575508,2025-08-12 17:29:59.999,-1.0,0.0,False
2025-08-12 18:15:00,LONG,119750.1,119455.40533571446,120339.4893285711,2025-08-12 18:44:59.999,-1.0,0.0,False
2025-08-12 19:25:00,LONG,119703.5,119454.39561243806,120201.70877512387,2025-08-12 20:09:59.999,-1.0,0.0,False
2025-08-12 20:15:00,LONG,119699.9,119477.23897470869,120145.22205058261,2025-08-12 20:49:59.999,2.0,0.0,True
2025-08-12 20:50:00,LONG,120194.4,119938.43348094633,120706.33303810732,2025-08-12 21:09:59.999,-1.0,0.0,False
2025-08-12 21:10:00,LONG,119966.6,119700.84503720608,120498.10992558787,2025-08-12 22:09:59.999,-1.0,0.0,False
2025-08-12 23:00:00,LONG,120049.9,119855.94021418974,120437.81957162051,2025-08-12 23:09:59.999,-1.0,0.0,False
2025-08-12 23:15:00,LONG,120048.0,119848.12197542816,120447.75604914367,2025-08-13 00:39:59.999,-1.0,0.0,False
2025-08-13 01:05:00,SHORT,119600.4,119787.35988253407,119226.48023493185,2025-08-13 02:09:59.999,2.0,0.0,True
2025-08-13 02:10:00,SHORT,119211.6,119411.77644901625,118811.24710196753,2025-08-13 02:39:59.999,-1.0,0.0,False
2025-08-13 03:10:00,SHORT,119326.5,119536.67254838468,118906.15490323065,2025-08-13 03:39:59.999,-1.0,0.0,False
2025-08-13 04:45:00,SHORT,119365.5,119582.48703071647,118931.52593856705,2025-08-13 05:29:59.999,-1.0,0.0,False
2025-08-13 05:40:00,SHORT,119314.6,119513.09263484995,118917.6147303001,2025-08-13 05:54:59.999,2.0,0.0,True
2025-08-13 05:55:00,SHORT,118960.0,119190.02715698445,118499.94568603109,2025-08-13 06:09:59.999,-1.0,0.0,False
2025-08-13 06:10:00,SHORT,119162.6,119407.46423611329,118672.87152777344,2025-08-13 07:04:59.999,-1.0,0.0,False
