open_time,side,entry,sl,tp,exit_time,R,equity,win
2025-08-09 16:40:00,LONG,4210.99,4193.496301986029,4245.977396027943,2025-08-09 18:54:59.999,2.0,3.0,True
2025-08-09 18:55:00,LONG,4248.07,4232.053440629107,4280.103118741785,2025-08-09 20:14:59.999,2.0,9.0,True
2025-08-09 20:15:00,LONG,4270.35,4252.458265923124,4306.133468153755,2025-08-09 22:24:59.999,2.0,27.0,True
2025-08-09 22:25:00,LONG,4320.11,4298.7373987912515,4362.855202417496,2025-08-09 22:34:59.999,-1.0,0.0,False
2025-08-10 00:10:00,SHORT,4257.12,4275.930746069499,4219.498507861002,2025-08-10 00:39:59.999,-1.0,0.0,False
2025-08-10 00:40:00,LONG,4281.79,4265.023988373921,4315.322023252156,2025-08-10 00:54:59.999,2.0,0.0,True
2025-08-10 00:55:00,LONG,4328.25,4308.399397761482,4367.951204477036,2025-08-10 01:04:59.999,-1.0,0.0,False
2025-08-10 01:05:00,LONG,4303.61,4281.814149090257,4347.201701819485,2025-08-10 02:14:59.999,-1.0,0.0,False
2025-08-10 02:50:00,SHORT,4250.4,4272.577595560004,4206.044808879992,2025-08-10 03:29:59.999,2.0,0.0,True
2025-08-10 03:30:00,SHORT,4232.55,4257.247864486239,4183.154271027521,2025-08-10 04:49:59.999,-1.0,0.0,False
2025-08-10 05:10:00,SHORT,4233.0,4250.631132475648,4197.737735048704,2025-08-10 07:39:59.999,2.0,0.0,True
2025-08-10 07:40:00,SHORT,4183.43,4200.062114403598,4150.165771192806,2025-08-10 08:24:59.999,-1.0,0.0,False
2025-08-10 10:35:00,SHORT,4202.66,4217.588200374626,4172.803599250748,2025-08-10 11:44:59.999,-1.0,0.0,False
2025-08-10 11:55:00,SHORT,4197.34,4213.644620765808,4164.730758468383,2025-08-10 13:59:59.999,2.0,0.0,True
2025-08-10 14:00:00,SHORT,4166.01,4180.671724575479,4136.686550849044,2025-08-10 14:09:59.999,-1.0,0.0,False
2025-08-10 14:50:00,LONG,4212.69,4195.711642046318,4246.646715907363,2025-08-10 17:14:59.999,2.0,0.0,True
2025-08-10 17:15:00,LONG,4234.27,4220.497462641621,4261.815074716759,2025-08-10 18:04:59.999,-1.0,0.0,False
2025-08-10 19:00:00,LONG,4234.32,4223.75490980017,4255.450180399659,2025-08-10 19:49:59.999,2.0,0.0,True
2025-08-10 19:50:00,LONG,4254.3,4242.921767972358,4277.056464055285,2025-08-10 20:04:59.999,-1.0,0.0,False
2025-08-10 21:05:00,SHORT,4185.98,4202.284415366602,4153.371169266794,2025-08-10 21:14:59.999,-1.0,0.0,False
2025-08-10 21:15:00,SHORT,4206.62,4223.890312229367,4172.079375541267,2025-08-10 22:24:59.999,-1.0,0.0,False
2025-08-10 23:00:00,LONG,4248.91,4232.489284028523,4281.751431942955,2025-08-10 23:19:59.999,-1.0,0.0,False
2025-08-10 23:30:00,LONG,4240.24,4224.440346597377,4271.839306805245,2025-08-11 00:29:59.999,2.0,0.0,True
2025-08-11 00:30:00,LONG,4275.24,4259.2187463613245,4307.28250727735,2025-08-11 00:39:59.999,-1.0,0.0,False
2025-08-11 00:40:00,LONG,4264.25,4246.404123138081,4299.941753723839,2025-08-11 01:29:59.999,2.0,0.0,True
2025-08-11 01:30:00,LONG,4290.66,4272.464688912503,4327.050622174993,2025-08-11 02:04:59.999,2.0,0.0,True
2025-08-11 02:05:00,LONG,4327.8,4304.540623970634,4374.318752058732,2025-08-11 02:24:59.999,-1.0,0.0,False
2025-08-11 02:25:00,LONG,4311.5,4286.691258622066,4361.117482755868,2025-08-11 03:09:59.999,-1.0,0.0,False
2025-08-11 03:55:00,LONG,4308.28,4289.036481315229,4346.76703736954,2025-08-11 04:14:59.999,2.0,0.0,True
2025-08-11 04:15:00,LONG,4337.01,4317.064068040511,4376.901863918978,2025-08-11 04:54:59.999,-1.0,0.0,False
2025-08-11 04:55:00,LONG,4324.67,4307.055287590024,4359.899424819953,2025-08-11 05:24:59.999,-1.0,0.0,False
2025-08-11 07:05:00,SHORT,4295.43,4308.6242410950645,4269.041517809873,2025-08-11 07:39:59.999,2.0,0.0,True
2025-08-11 07:40:00,SHORT,4268.88,4284.020588910465,4238.598822179069,2025-08-11 08:59:59.999,-1.0,0.0,False
2025-08-11 09:05:00,SHORT,4274.12,4287.835985083739,4246.688029832521,2025-08-11 10:19:59.999,2.0,0.0,True
2025-08-11 10:20:00,SHORT,4246.81,4264.064195515968,4212.301608968066,2025-08-11 11:19:59.999,2.0,0.0,True
2025-08-11 11:20:00,SHORT,4217.83,4235.428828994625,4182.632342010749,2025-08-11 11:49:59.999,2.0,0.0,True
2025-08-11 11:50:00,SHORT,4182.91,4203.349893272403,4142.030213455193,2025-08-11 13:34:59.999,-1.0,0.0,False
2025-08-11 14:05:00,LONG,4293.56,4262.999807623257,4354.6803847534875,2025-08-11 14:14:59.999,-1.0,0.0,False
2025-08-11 14:15:00,LONG,4272.83,4241.792665756787,4334.904668486425,2025-08-11 16:04:59.999,2.0,0.0,True
2025-08-11 16:05:00,LONG,4360.56,4332.179499896078,4417.321000207847,2025-08-11 16:24:59.999,-1.0,0.0,False
2025-08-11 16:25:00,LONG,4342.02,4313.267346978651,4399.5253060426985,2025-08-11 16:44:59.999,-1.0,0.0,False
2025-08-11 16:50:00,LONG,4329.96,4301.219894866618,4387.440210266763,2025-08-11 17:04:59.999,-1.0,0.0,False
2025-08-11 19:50:00,SHORT,4275.81,4295.729535279011,4235.97092944198,2025-08-11 20:14:59.999,2.0,0.0,True
2025-08-11 20:15:00,SHORT,4237.98,4261.95088991445,4190.038220171098,2025-08-11 21:39:59.999,2.0,0.0,True
2025-08-11 21:40:00,SHORT,4213.69,4234.594813888998,4171.880372222002,2025-08-12 00:04:59.999,-1.0,0.0,False
2025-08-12 01:00:00,LONG,4272.0,4253.5562735660915,4308.887452867817,2025-08-12 02:39:59.999,2.0,0.0,True
2025-08-12 02:40:00,LONG,4308.39,4290.976436053257,4343.217127893487,2025-08-12 02:59:59.999,-1.0,0.0,False
2025-08-12 03:00:00,LONG,4290.03,4273.607855974517,4322.874288050964,2025-08-12 03:19:59.999,-1.0,0.0,False
2025-08-12 03:35:00,LONG,4291.86,4276.449960864365,4322.68007827127,2025-08-12 05:44:59.999,-1.0,0.0,False
2025-08-12 06:45:00,LONG,4301.32,4284.235985489437,4335.488029021127,2025-08-12 10:04:59.999,-1.0,0.0,False
2025-08-12 10:05:00,SHORT,4276.64,4290.370522941877,4249.178954116247,2025-08-12 10:24:59.999,-1.0,0.0,False
